Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Parvimonas micra	16	ZI	4.19631335779422e-41	-1.65828785775855	0.117247632874234	NZ_LR134472.1 Parvimonas micra strain NCTC11808 chromosome 1, complete sequence
Peptostreptococcus stomatis	4	ZI	5.49024823594564e-41	-1.80389226304798	0.1277133745336	NZ_ADGQ01000074.1 Peptostreptococcus stomatis DSM 17678 contig00005, whole genome shotgun sequence
Gemella morbillorum	8	ZI	1.89483536980788e-34	-1.65994097397067	0.12747929057121	NZ_CAJPMP010000001.1 MAG: Gemella morbillorum isolate SRR9217391-mag-bin.6, whole genome shotgun sequence
Allisonella pneumosinta	1	ZI	7.92231733122625e-33	-1.91202430403065	0.150162125628155	NZ_CP017037.1 Dialister pneumosintes strain F0677 chromosome, complete genome
Fusobacterium animalis	21	ZI	2.59756736940805e-22	-1.54363024559138	0.144542279700832	NZ_CP071098.1 Fusobacterium animalis strain THCT6B3 chromosome, complete genome
Bulleidia moorei	7	ZI	4.21008923416939e-20	-1.2599675601504	0.123571187525824	NZ_CALIQG010000001.1 MAG: Solobacterium moorei isolate ERR589656_bin.44_CONCOCT_v1.1_MAG ERZ773093.652, whole genome shotgun sequence
Otoolea symbiosa	22	ZI	1.08282036750788e-09	-0.728342340839655	0.09679952529908	NZ_GL834305.1 [Clostridium] symbiosum WAL-14163 supercont1.1, whole genome shotgun sequence
Roseburia intestinalis	46	ZI	2.84200889348492e-08	0.673347416604861	0.095041050318667	CATXIF010000001.1 MAG TPA_asm: Roseburia intestinalis isolate SRR17382090_bin.56_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18707880.271, whole genome shotgun sequence
Hungatella hathewayi	12	ZI	5.63535737848842e-08	-0.666744435711404	0.0953943344588535	NZ_HF996869.1 Hungatella hathewayi CAG:224, whole genome shotgun sequence
Faecalibacterium sp900765105	2	ZI	3.2547544908646e-07	0.73512519387229	0.109087913934901	CABUSM010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate MGYG-HGUT-04336 genome assembly, contig: GUT_GENOME268227_1, whole genome shotgun sequence
Faecalibacterium prausnitzii_E	8	ZI	6.18946822282212e-07	0.629254622164911	0.0947004501456967	NZ_JAQCXY010000001.1 Faecalibacterium prausnitzii strain AF35-6-C AF35-6-C.Scaf1, whole genome shotgun sequence
Faecalibacterium sp900539885	23	ZI	2.73827192060638e-06	0.615483266614824	0.0958412161822851	CAKSWP010000001.1 MAG: uncultured Faecalibacterium sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_24_2678.11 genome assembly, contig: Hadza_MoBio_hadza-I-L_M_24_2678__NODE_4_length_322209_cov_59.839327, whole genome shotgun sequence
Roseburia sp934317215	2	ZI	1.08997822569653e-05	0.578679928689652	0.0932123476518512	CAKREH010000001.1 MAG: uncultured Roseburia sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_22_2249.39 genome assembly, contig: Hadza_MoBio_hadza-E-H_F_22_2249__NODE_58_length_206871_cov_8.268649, whole genome shotgun sequence
Lachnospira sp000436535	18	ZI	1.38066465371454e-05	0.82569525637922	0.133804350620895	CAKRCB010000001.1 MAG: uncultured Lachnospira sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_19_2499.185 genome assembly, contig: Hadza_MoBio_hadza-I-L_M_19_2499__NODE_709_length_76090_cov_43.591833, whole genome shotgun sequence
Roseburia rectibacter	8	ZI	1.54961055027421e-05	0.591740602415974	0.0961768352965763	JAQDBL010000001.1 Lachnospiraceae bacterium AF58-9ACA AF58-9ACA.Scaf1, whole genome shotgun sequence
Hungatella effluvii	17	ZI	2.21892407110487e-05	-0.624838739092219	0.102509418625602	NZ_JAQETU010000001.1 Hungatella effluvii strain IM01-09pH9A IM01-09pH9A.Scaf1, whole genome shotgun sequence
Faecalibacterium prausnitzii_F	2	ZI	2.51103139224027e-05	0.662655380454508	0.109068179170968	CAUDRE010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate SRR17798027_bin.11_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18698363.168, whole genome shotgun sequence
Faecalibacterium hattorii	2	ZI	3.32375492130292e-05	0.654194119617374	0.108482424450042	NZ_PRLC01000010.1 Faecalibacterium hattorii strain APC922/41-1 NODE_10_length_123395_cov_675.917, whole genome shotgun sequence
