Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Pullichristensenella sp946496415	1	ZI	0.000174164150222839	0.884752933042004	0.153434615596851	CAMMGP010000001.1 MAG: uncultured Clostridia bacterium isolate ERR4836966_bin.81_MetaWRAP_v1.1_MAG genome assembly, contig: NODE_2413_length_24681_cov_7.829205, whole genome shotgun sequence
Pullichristensenella excrementipullorum	4	ZI	0.000459737577422752	0.879835361159706	0.157102768283483	CATVZW010000001.1 MAG TPA_asm: Candidatus Pullichristensenella excrementipullorum isolate ERR9322428_bin.15_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18534383.1624, whole genome shotgun sequence
Pullichristensenella stercoripullorum	2	ZI	0.0010162074593153	0.842991184252175	0.154358575704025	DVGE01000009.1 MAG TPA_asm: Candidatus Pullichristensenella stercoripullorum isolate 5266 ChiHjej21__C10043_L2803_SRR6323301, whole genome shotgun sequence
Veillonella hominis	8	ZI	0.00566541692941527	-0.728984467942934	0.14161202821805	NZ_KQ960773.1 Veillonella parvula strain DNF00876 Scaffold0, whole genome shotgun sequence
Veillonella sp018376995	5	ZI	0.00725094390075832	-0.72679108219299	0.14247326597037	NZ_JAGZFS010000025.1 MAG: Veillonella sp. isolate L3_098_047G1_dasL3_098_047G1_maxbin2.maxbin.008 L3_098_047G1_scaffold_1016, whole genome shotgun sequence
Veillonella parvula_A	14	ZI	0.00848005486601305	-0.723418633934179	0.1426434783681	NZ_CALLTU010000001.1 MAG: Veillonella parvula isolate ERR2198631_bin.113_CONCOCT_v1.1_MAG ERZ1767277.14894, whole genome shotgun sequence
PeH17 sp000435055	45	ZI	0.0141440994792564	0.769592012853989	0.154746194783559	JAJVZB010000125.1 MAG: Clostridium sp. isolate A64_maxbin.001.fa NODE_10001_length_1373_cov_18.202580, whole genome shotgun sequence
Pullichristensenella sp904420265	1	ZI	0.0151030890720585	0.882705378303704	0.177946568247228	CAJFUU010000001.1 uncultured Clostridia bacterium isolate Coassembly_mag_558 genome assembly, contig: MAGpy_11413_min2k_bin_558_fak87_6805, whole genome shotgun sequence
PeH17 sp937894955	1	ZI	0.0186368768645841	0.768232759116883	0.156161195874754	CALAXO010000001.1 MAG TPA_asm: uncultured Clostridia bacterium isolate SRR1747021_bin.129_CONCOCT_v1.1_MAG genome assembly, contig: ERZ808243.1478, whole genome shotgun sequence
Veillonella sp934216375	1	ZI	0.0320939438412793	-0.680803717732884	0.141490799278514	NZ_JANGAL010000001.1 Veillonella parvula strain DFI.7.83 DEHHMHKH_1, whole genome shotgun sequence
Veillonella sp900757715	1	ZI	0.0444012351533804	-0.675083509528645	0.142236503386147	NZ_CAJLKC010000001.1 MAG: uncultured Veillonella sp. isolate ERR2013584-bin.33, whole genome shotgun sequence
